ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_03800,15708.0,17357.34,Ministerio de Salud,Aviso Legal,Grafica,11102,EDITORIAL CAPAYAN S.A.        ,EL ANCASTI,Catamarca,DTO 852-14,may-18,si
2018_03789,19712.16,20204.96,Cent.- Ente Nac.Reg. de Electr,Aviso Legal,Grafica,16817,AMACOM MEDIA S.R.L.,EL COMERCIAL,Formosa,DA 448-09,may-18,no
2018_03788,100000.0,121000.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2018 -Ministerio de Justicia y Derechos Humanos,Cable,13079,CM TV & PUBLICIDAD S.A.       ,CANAL MUSICAL,Capital Federal,DTO 852-14,may-18,si
2018_03785,32735.0,39609.35,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2018 -Ministerio de Justicia y Derechos Humanos,Cable,14143,RED INTERCABLE S.A.,SEÑAL CONEXION EDUCATIVA,Capital Federal,DTO 852-14,may-18,si
2018_03777,289170.0,296399.25,Ministerio de Salud,Aviso Legal,Grafica,18574,COOPERATIVA DE TRAB. POR MÁS TIEMPO LTDA,TIEMPO ARGENTINO,Buenos Aires,DA 448-09,may-18,no
2018_03778,668406.0,808771.26,Ministerio de Salud,Aviso Legal,Grafica,11246,EDITORIAL PERFIL S.A.         ,PERFIL,Capital Federal,DA 448-09,may-18,no
2018_03779,8606.25,8606.25,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11306,SO.DI.PA. S.A.,AM 580 LU20 RADIO CHUBUT,Chubut,DA 562-10 B,may-18,no
2018_03786,6204.0,7506.84,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,13713,BUENA ONDA TELEVIS. COLOR SRL ,CANAL 12,Chubut,DA 448-09,may-18,no
2018_03787,9217.0,11152.57,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 7,Chubut,DA 448-09,may-18,no
2018_03620,15606.0,18883.26,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Grafica,13623,J.G. REPRESENTACIONES S.A.    ,EL NUEVO DIARIO,San Juan,RES 617-E/2016,may-18,no
2018_03628,16173.3,19569.69,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Grafica,18937,VENTOLA NICOLAS TADEO         ,EL PREGON,Jujuy,RES 617-E/2016,may-18,no
2018_03776,7680.0,7680.0,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,13940,TV FUEGO S.A.,TV FUEGO,Tierra del Fuego,DA 448-09,may-18,no
2018_03759,84552.0,102307.92,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 10,Buenos Aires,DA 448-09,may-18,no
2018_03764,121800.0,147378.0,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11396,TELEVISION LITORAL S.A.,CANAL 3,Santa Fe,DA 448-09,may-18,no
2018_03765,91757.5,111026.58,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 5 ROSARIO,Santa Fe,DA 448-09,may-18,no
2018_03762,73112.0,88465.52,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 12 CORDOBA,Córdoba,DA 448-09,may-18,no
2018_03763,80558.75,97476.09,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 8 CORDOBA,Córdoba,DA 448-09,may-18,no
2018_03766,62547.93,75683.0,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,15672,UNOMEDIOS S.A.,CANAL 7,Mendoza,DA 448-09,may-18,no
2018_03768,30380.0,36759.8,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Cable,11182,AMERICA TV S.A.,A24,Capital Federal,DTO 852-14,may-18,si
