orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_05211,9381.83,Com.Nac.De Reg.del Transporte,Legal Mayo,Grafica,Bae Negocios S.A.,BAE,DTO 852-14,2016-05-01
2016_05347,9383.32,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Srt Serv R y Tv Univ N Cdba Sa,FM 102.3 NUESTRA RADIO,DTO 852-14,2016-05-01
2016_03852,9391.14,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Radionoticias Sudamericana Sa,FM 100.5 RADIO SUDAMERICANA,DA 448-09,2016-05-01
2016_05121,9486.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Gomez Ramon Ricardo,VALLE VIEJO,DA 448-09,2016-05-01
2016_05312,9522.7,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Tv,Cordoba Claudio Gustavo,CANAL 6,DA 448-09,2016-05-01
2016_05774,9546.9,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Voces S.A.,FM 99.5 ESTACION DEL SIGLO,DA 448-09,2016-05-01
2016_05638,9571.1,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Gomez Jorge Felix,AM 900 LT7 RADIO PROVINCIA,DA 448-09,2016-05-01
2016_04426,9680.0,Presidencia de la Nacion,Tarifa Social - Presidencia de la Nacion,Via Publica,Espacio Via Publica S.R.L.,ESPECTACULARES,DA 448-09,2016-05-01
2016_04363,9680.0,Presidencia de la Nacion,Tarifa Social - Presidencia de la Nacion,Via Publica,Espacios Publicitarios S.A.,CARTELES,DA 448-09,2016-05-01
2016_04617,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Web,Caride Horacio Enrique,WWW.EXPEDIENTEPOLITICO.COM.AR,DA 562-10,2016-05-01
2016_04630,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_04631,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_04632,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_04633,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_04634,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 562-10,2016-05-01
2016_04635,9680.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,Comarin Comunic. y Market. Srl,AM 590 RADIO CONTINENTAL,DA 562-10,2016-05-01
2016_04019,9719.33,Presidencia de la Nacion,Tarifa Social - Presidencia de la Nacion,Radio,Votionis S.A.,FM 98.3 MEGA,DA 448-09,2016-05-01
2016_04020,9719.33,Presidencia de la Nacion,Tarifa Social - Presidencia de la Nacion,Radio,Radio Productora 2000 S.A.,FM 97.5 VALE,DA 448-09,2016-05-01
2016_04921,9742.97,Banco de la Nacion Argentina,Legal Mayo,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-05-01
2016_05592,9849.4,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,La 98 Lp de Saul O.Apolinaire,FM 99.1,DA 448-09,2016-05-01
2016_05200,9877.62,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Grafica,Vivescas S.R.L.,LA CALLE,DTO 852-14,2016-05-01
2016_05939,9966.17,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Tv,Television Federal S.A.,CANAL 9,DA 448-09,2016-05-01
2016_04018,9997.02,Presidencia de la Nacion,Tarifa Social - Presidencia de la Nacion,Radio,Dh Com S.A.,FM 101.5 POP RADIO,DA 448-09,2016-05-01
2016_05333,10000.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Web,Gatica Lorena Judith,WWW.LANUSNOTICIAS.COM.AR,DA 448-09,2016-05-01
2016_04686,10000.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,Flores Cesar Augusto,FM 107.9 GENESIS,DA 448-09,2016-05-01
2016_04757,10007.28,Ministerio de Turismo,Legal Mayo,Grafica,Bae Negocios S.A.,BAE,DTO 852-14,2016-05-01
2016_04413,10012.41,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Grafica,La Arena S.A.,LA ARENA,DTO 852-14,2016-05-01
2016_05639,10145.28,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Radionoticias Sudamericana Sa,FM 100.5 RADIO SUDAMERICANA,DA 448-09,2016-05-01
2016_03854,10198.98,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Maxima Comunicaciones Srl,FM 94.5 Máxima,DA 448-09,2016-05-01
2016_05590,10247.25,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Empresa Periodist. Grafis Srl,LU10 AM1320 RADIO AZUL,DA 448-09,2016-05-01
2016_03863,10296.0,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Antena Ocho S.R.L.,FM 98.1 RADIO ANTENA 8,DA 448-09,2016-05-01
2016_03857,10381.8,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Trab.Emis.Pampeana Coop.Ltda.,AM 890 LU 33 Emisora Pampeana,DA 448-09,2016-05-01
2016_05578,10418.1,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Coop.Trab.Ondas del Sur Lmtda.,AM 1080 LU3 BAHIA BLANCA,DA 448-09,2016-05-01
2016_03855,10421.73,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Grupo Mc Medios S.A.,FM RADIO CITY,DA 448-09,2016-05-01
2016_04621,10527.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,Quart Producciones Srl,FM 100.7 BLUE,DA 562-10,2016-05-01
