ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_10764,1400.21,1694.25,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,12097,FRECUENCIA PROD.PUBLICIT. S.A.,FM MITRE 96.5,Santa Fe,DA 448-09,jul-16
2016_10765,9987.84,12085.29,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11145,VOCES S.A.,AM 830 LT8 RADIO ROSARIO,Santa Fe,DA 448-09,jul-16
2016_10767,4620.00,5590.20,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13223,BONITA S.R.L.,FM 97.3 RADIO BOING,Santa Fe,DA 448-09,jul-16
2016_10769,4620.00,5590.20,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15791,AYL S.R.L.,FM 100.7,Santa Fe,DA 448-09,jul-16
2016_10771,6720.00,6720.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11147,RAD. UNIV. NAC. DEL LITORAL SA,AM 1020 LT10 UNIVERSIDAD,Santa Fe,DA 448-09,jul-16
2016_10766,1680.00,2032.80,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,14130,COLANERI REPRES.INTERNAC. S.A.,FM 103.7 - EXCLUSIVA,Santiago del Estero,DA 448-09,jul-16
2016_10768,3222.18,3898.84,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13623,J.G. REPRESENTACIONES S.A.,FM PANORAMA,Santiago del Estero,DA 448-09,jul-16
2016_10770,2518.99,3047.98,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11295,RADIODIF. SGO DEL ESTERO SACeI,AM 890 LV11 EMISORA SGO. DEL ESTERO,Santiago del Estero,DA 448-09,jul-16
2016_10751,7040.00,8518.40,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15020,ASISTENZA S.A.,FM 95.9,La Rioja,DA 448-09,jul-16
2016_10752,3610.80,3610.80,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17744,PIVETTA PABLO ANDRES,FM 88.1 RADIO LA RED,La Rioja,DA 448-09,jul-16
2016_10753,1800.00,2178.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13623,J.G. REPRESENTACIONES S.A.,FM MONTECRISTO 96.9,La Rioja,DA 448-09,jul-16
2016_10749,10710.00,12959.10,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11293,RADIODIFUSORA SALTA S.A.,AM 840 LV 9 RADIO SALTA,Salta,DA 448-09,jul-16
2016_10750,8400.00,10164.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13623,J.G. REPRESENTACIONES S.A.,FM PROFESIONAL,Salta,DA 448-09,jul-16
